"","broadband","blogs","onlinenews","income","age","race","educ1","interest","age1","sex","pid"
"1658","High Speed",NA,NA,"(4,6]",50,"White","College",1,"(40,57]","Male","Independent"
"1659",NA,NA,NA,"(4,6]",48,"White","HS or Less",3,"(40,57]","Female","Independent"
"1660","High Speed",NA,NA,"(6,8]",25,"White","College",1,"[18,40]","Female","Independent"
"1661","Dial-Up",0,0,"[1,4]",61,"Non-Whte","HS or Less",1,"(57,86]","Male","Democrat"
"1662","Dial-Up",0.5,0,"[1,4]",24,"White","Some College",1,"[18,40]","Male","Repubican"
"1663",NA,NA,NA,"[1,4]",76,"White","College",1,"(57,86]","Male","Independent"
"1664","Dial-Up",NA,NA,"(4,6]",68,"White","Some College",1,"(57,86]","Male","Independent"
"1665","Dial-Up",NA,NA,"(4,6]",58,"White","HS or Less",1,"(57,86]","Male","Independent"
"1666","Dial-Up",0,0,"[1,4]",19,"Non-Whte","Some College",2,"[18,40]","Female","Democrat"
"1667",NA,NA,NA,NA,78,"Non-Whte",NA,1,"(57,86]","Female","Independent"
"1668","High Speed",NA,NA,"(4,6]",52,"White","College",1,"(40,57]","Female","Repubican"
"1669","High Speed",0,0,"[1,4]",39,"White","HS or Less",1,"[18,40]","Male","Repubican"
"1670",NA,NA,NA,"[1,4]",40,"Non-Whte","Some College",2,"[18,40]","Female","Independent"
"1671",NA,NA,NA,NA,60,"Non-Whte","Some College",2,"(57,86]","Female","Independent"
"1672","Dial-Up",0,0,"[1,4]",42,"Non-Whte","HS or Less",1,"(40,57]","Female","Democrat"
"1673","High Speed",0,0,NA,20,"Non-Whte","HS or Less",3,"[18,40]","Male","Independent"
"1674",NA,NA,NA,"[1,4]",66,"White","HS or Less",1,"(57,86]","Female","Independent"
"1675","High Speed",NA,NA,"(4,6]",57,"White","HS or Less",3,"(40,57]","Male","Independent"
"1676",NA,NA,NA,"[1,4]",52,"Non-Whte","HS or Less",2,"(40,57]","Female","Democrat"
"1677","Dial-Up",NA,NA,"[1,4]",69,"White","HS or Less",1,"(57,86]","Female","Repubican"
"1678",NA,NA,NA,"[1,4]",71,"Non-Whte","HS or Less",4,"(57,86]","Female","Democrat"
"1679",NA,NA,NA,"[1,4]",60,"White","College",1,"(57,86]","Female","Democrat"
"1680",NA,NA,NA,"[1,4]",30,"Non-Whte","HS or Less",2,"[18,40]","Female","Independent"
"1681","Dial-Up",NA,NA,"[1,4]",55,"White","HS or Less",1,"(40,57]","Male","Independent"
"1682","Dial-Up",NA,NA,NA,32,"White","Some College",1,"[18,40]","Male","Independent"
"1683","Dial-Up",0,0,"[1,4]",75,"White","HS or Less",1,"(57,86]","Male","Independent"
"1684","Dial-Up",NA,NA,"[1,4]",27,"White","HS or Less",2,"[18,40]","Female","Repubican"
"1685","High Speed",NA,NA,NA,62,"White","College",1,"(57,86]","Female","Repubican"
"1686","High Speed",0,0,"(6,8]",46,"White","College",1,"(40,57]","Female","Democrat"
"1687","High Speed",NA,NA,"(4,6]",29,"White","College",3,"[18,40]","Female","Independent"
"1688",NA,NA,NA,"(4,6]",56,"Non-Whte","HS or Less",2,"(40,57]","Male","Democrat"
"1689",NA,NA,NA,"[1,4]",76,"White","Some College",4,"(57,86]","Female","Democrat"
"1690",NA,NA,NA,"(4,6]",60,"White","College",1,"(57,86]","Male","Independent"
"1691","High Speed",0,0,"(4,6]",34,"White","College",3,"[18,40]","Female","Independent"
"1692","High Speed",0,0.5,"(6,8]",40,"White","Some College",1,"[18,40]","Female","Repubican"
"1693","Dial-Up",0,0,"(6,8]",55,"White","College",1,"(40,57]","Female","Repubican"
"1694","High Speed",NA,NA,NA,24,"White","Some College",2,"[18,40]","Female","Independent"
"1695","High Speed",0,0,NA,21,"White","HS or Less",4,"[18,40]","Female","Independent"
"1696","High Speed",NA,NA,NA,57,"White","College",1,"(40,57]","Male","Independent"
"1697",NA,NA,NA,"(4,6]",37,"Non-Whte","HS or Less",1,"[18,40]","Male","Democrat"
"1698","Dial-Up",0,0,"(4,6]",51,"Non-Whte","HS or Less",2,"(40,57]","Male","Independent"
"1699","Dial-Up",NA,NA,NA,71,"White","Some College",1,"(57,86]","Female","Democrat"
"1700",NA,NA,NA,"(4,6]",50,"Non-Whte","Some College",1,"(40,57]","Male","Democrat"
"1701",NA,NA,NA,"(6,8]",18,"White","Some College",3,"[18,40]","Female","Democrat"
"1702",NA,0,0,"(4,6]",37,"Non-Whte","College",3,"[18,40]","Male","Independent"
"1703",NA,NA,NA,"[1,4]",87,"White","HS or Less",4,NA,"Female","Democrat"
"1704",NA,NA,NA,"[1,4]",35,"Non-Whte","HS or Less",4,"[18,40]","Male","Independent"
"1705","High Speed",0,0,"(6,8]",68,"White","College",1,"(57,86]","Male","Repubican"
"1706",NA,NA,NA,"[1,4]",46,"Non-Whte","HS or Less",4,"(40,57]","Male","Independent"
"1707",NA,NA,NA,"[1,4]",63,"White","Some College",1,"(57,86]","Female","Independent"
"1708","High Speed",NA,NA,"(6,8]",44,"White","Some College",2,"(40,57]","Female","Repubican"
"1709","Dial-Up",NA,NA,NA,41,"White","HS or Less",2,"(40,57]","Female","Democrat"
"1710",NA,NA,NA,"[1,4]",45,"White","HS or Less",3,"(40,57]","Male","Democrat"
"1711",NA,NA,NA,"[1,4]",66,"White","HS or Less",1,"(57,86]","Male","Independent"
"1712",NA,NA,NA,"[1,4]",69,"White","HS or Less",4,"(57,86]","Female","Repubican"
"1713",NA,NA,NA,NA,77,"White","College",1,"(57,86]","Male","Repubican"
"1714","Dial-Up",0,0,"(4,6]",54,"White","HS or Less",1,"(40,57]","Female","Democrat"
"1715","Dial-Up",0,0,"(6,8]",45,"White","HS or Less",1,"(40,57]","Male","Independent"
"1716",NA,NA,NA,"[1,4]",29,"White","HS or Less",4,"[18,40]","Female","Independent"
"1717","High Speed",NA,NA,"(6,8]",43,"White","College",1,"(40,57]","Male","Independent"
"1718",NA,NA,NA,"[1,4]",58,"White","Some College",1,"(57,86]","Female","Repubican"
"1719",NA,NA,NA,"[1,4]",57,"White","HS or Less",2,"(40,57]","Female","Repubican"
"1720",NA,NA,NA,"[1,4]",36,"White","HS or Less",1,"[18,40]","Female","Democrat"
"1721","High Speed",0,0,"(4,6]",53,"White","HS or Less",1,"(40,57]","Female","Independent"
"1722","Dial-Up",0,0,NA,56,"Non-Whte",NA,4,"(40,57]","Male","Independent"
"1723",NA,NA,NA,"[1,4]",24,"White","HS or Less",NA,"[18,40]","Female","Independent"
"1724",NA,NA,NA,NA,31,"White","Some College",3,"[18,40]","Female","Independent"
"1725","Dial-Up",NA,NA,"[1,4]",70,"White","HS or Less",1,"(57,86]","Female","Democrat"
"1726","Dial-Up",NA,NA,"(6,8]",62,"White","College",1,"(57,86]","Female","Repubican"
"1727",NA,NA,NA,NA,69,"White","HS or Less",1,"(57,86]","Female","Repubican"
"1728","Dial-Up",0,0,"[1,4]",67,"White","HS or Less",1,"(57,86]","Female","Repubican"
"1729",NA,NA,NA,"[1,4]",56,"White","HS or Less",1,"(40,57]","Female","Repubican"
"1730",NA,NA,NA,"[1,4]",34,"White","Some College",3,"[18,40]","Female","Independent"
"1731",NA,NA,NA,"[1,4]",80,"White","HS or Less",1,"(57,86]","Female","Democrat"
"1732","High Speed",0,0,"(4,6]",36,"White","HS or Less",1,"[18,40]","Female","Independent"
"1733","Dial-Up",NA,NA,"(4,6]",24,"White","Some College",1,"[18,40]","Female","Repubican"
"1734","High Speed",0,0,"[1,4]",22,"White","Some College",2,"[18,40]","Female","Democrat"
"1735","High Speed",1,1,"(6,8]",31,"White","College",1,"[18,40]","Male","Repubican"
"1736",NA,0,0,"(6,8]",63,"White","Some College",3,"(57,86]","Female","Repubican"
"1737",NA,NA,NA,"(4,6]",22,"White","HS or Less",2,"[18,40]","Male","Repubican"
"1738","High Speed",0,0,"(6,8]",36,"White","College",2,"[18,40]","Female","Democrat"
"1739",NA,NA,NA,"(4,6]",57,"White","Some College",2,"(40,57]","Male","Independent"
"1740",NA,NA,NA,"[1,4]",26,"Non-Whte","HS or Less",1,"[18,40]","Male","Independent"
"1741",NA,0,0,"(6,8]",55,"White","College",1,"(40,57]","Male","Democrat"
"1742",NA,NA,NA,NA,76,"White","HS or Less",1,"(57,86]","Female","Repubican"
"1743",NA,NA,NA,NA,69,"White","HS or Less",1,"(57,86]","Male","Repubican"
"1744",NA,NA,NA,"[1,4]",66,"White","HS or Less",1,"(57,86]","Male","Repubican"
"1745",NA,NA,NA,"[1,4]",63,"White","HS or Less",1,"(57,86]","Female","Democrat"
"1746","Dial-Up",NA,NA,NA,76,"White","College",1,"(57,86]","Female","Repubican"
"1747","High Speed",NA,NA,"[1,4]",36,"White","College",1,"[18,40]","Male","Repubican"
"1748",NA,NA,NA,"(4,6]",51,"White","HS or Less",1,"(40,57]","Female","Democrat"
"1749",NA,NA,NA,NA,70,"White","HS or Less",2,"(57,86]","Male","Independent"
"1750",NA,0,0,"(6,8]",39,"White","College",3,"[18,40]","Female","Repubican"
"1751","Dial-Up",0,0,"[1,4]",65,"White","Some College",1,"(57,86]","Female","Repubican"
"1752","Dial-Up",NA,NA,"(4,6]",53,"White","HS or Less",2,"(40,57]","Female","Independent"
"1753",NA,NA,NA,"[1,4]",41,"White","College",1,"(40,57]","Male","Democrat"
"1754",NA,NA,NA,"[1,4]",43,"White","HS or Less",1,"(40,57]","Male","Independent"
"1755",NA,NA,NA,NA,79,"White","HS or Less",3,"(57,86]","Male","Democrat"
"1756","High Speed",0,0,"(6,8]",68,"White","College",1,"(57,86]","Female","Democrat"
"1757","Dial-Up",0,0,"(4,6]",43,"White","College",4,"(40,57]","Female","Independent"
"1758",NA,NA,NA,NA,64,"White","HS or Less",2,"(57,86]","Female","Democrat"
"1759",NA,NA,NA,"[1,4]",70,"White","HS or Less",1,"(57,86]","Male","Repubican"
"1760","Dial-Up",0,0,"(4,6]",22,"White","HS or Less",2,"[18,40]","Female","Democrat"
"1761","Dial-Up",NA,NA,"(4,6]",75,"White","College",1,"(57,86]","Male","Independent"
"1762",NA,NA,NA,"[1,4]",53,"White","HS or Less",2,"(40,57]","Male","Independent"
"1763","High Speed",0,0,"(4,6]",46,"White","Some College",1,"(40,57]","Male","Independent"
"1764","High Speed",NA,NA,"(6,8]",61,"White","College",1,"(57,86]","Male","Democrat"
"1765",NA,NA,NA,NA,18,"Non-Whte","HS or Less",2,"[18,40]","Female","Independent"
"1766","Dial-Up",0,0,"(6,8]",50,"White","HS or Less",1,"(40,57]","Male","Repubican"
"1767","Dial-Up",0,0,"[1,4]",42,"White","HS or Less",1,"(40,57]","Male","Repubican"
"1768","High Speed",NA,NA,"[1,4]",21,"White","Some College",2,"[18,40]","Male","Repubican"
"1769",NA,NA,NA,"(4,6]",57,"White","Some College",2,"(40,57]","Female","Democrat"
"1770",NA,NA,NA,NA,55,"White","HS or Less",1,"(40,57]","Female","Independent"
"1771",NA,NA,NA,"[1,4]",65,"White","HS or Less",1,"(57,86]","Male","Independent"
"1772","Dial-Up",0,0,"(4,6]",31,"White","Some College",3,"[18,40]","Male","Independent"
"1773","High Speed",0,0,"(4,6]",37,"White","College",1,"[18,40]","Male","Repubican"
"1774","Dial-Up",NA,NA,"[1,4]",34,"Non-Whte","HS or Less",2,"[18,40]","Female","Democrat"
"1775",NA,NA,NA,"[1,4]",47,"White","College",4,"(40,57]","Female","Independent"
"1776",NA,NA,NA,"(4,6]",26,"White","College",3,"[18,40]","Male","Repubican"
"1777","Dial-Up",0,0,"(6,8]",57,"White","College",1,"(40,57]","Female","Repubican"
"1778","Dial-Up",NA,NA,"(4,6]",35,"White","College",2,"[18,40]","Female","Repubican"
"1779","High Speed",0,0.5,"(4,6]",26,"White","College",1,"[18,40]","Female","Independent"
"1780","High Speed",NA,NA,NA,59,"White","College",1,"(57,86]","Female","Independent"
"1781",NA,NA,NA,"[1,4]",61,"White","HS or Less",1,"(57,86]","Female","Independent"
"1782","Dial-Up",NA,NA,"(4,6]",41,"White","HS or Less",2,"(40,57]","Male","Repubican"
"1783","Dial-Up",0,0,"(4,6]",41,"White","Some College",1,"(40,57]","Male","Independent"
"1784","High Speed",0,0.5,"[1,4]",61,"White","College",1,"(57,86]","Male","Independent"
"1785",NA,NA,NA,"(4,6]",46,"White","College",2,"(40,57]","Female","Repubican"
"1786",NA,NA,NA,"(4,6]",42,"Non-Whte","Some College",4,"(40,57]","Male","Democrat"
"1787","High Speed",0,0,"(6,8]",54,"White","Some College",3,"(40,57]","Male","Democrat"
"1788",NA,NA,NA,"[1,4]",71,"White","College",1,"(57,86]","Male","Independent"
"1789",NA,NA,NA,"[1,4]",70,"Non-Whte","HS or Less",2,"(57,86]","Male","Democrat"
"1790",NA,NA,NA,"[1,4]",61,"White","College",2,"(57,86]","Female","Independent"
"1791",NA,NA,NA,NA,48,"White","HS or Less",1,"(40,57]","Female","Independent"
"1792",NA,NA,NA,NA,62,"White","Some College",1,"(57,86]","Female","Repubican"
"1793","High Speed",0,0,"[1,4]",37,"White","HS or Less",2,"[18,40]","Male","Democrat"
"1794","High Speed",0,0,"(6,8]",42,"White","College",1,"(40,57]","Female","Repubican"
"1795","High Speed",NA,NA,"(4,6]",56,"White","Some College",1,"(40,57]","Female","Democrat"
"1796","Dial-Up",0,0,"(4,6]",42,"White","College",1,"(40,57]","Male","Repubican"
"1797",NA,NA,NA,NA,86,"White","HS or Less",3,"(57,86]","Female","Repubican"
"1798",NA,NA,NA,"[1,4]",77,"Non-Whte","HS or Less",1,"(57,86]","Female","Independent"
"1799","Dial-Up",0,0,"(6,8]",51,"White","Some College",1,"(40,57]","Female","Repubican"
"1800",NA,NA,NA,NA,20,"White","HS or Less",4,"[18,40]","Male","Democrat"
"1801","Dial-Up",0,0,"[1,4]",21,"White","HS or Less",2,"[18,40]","Male","Repubican"
"1802","High Speed",NA,NA,"(6,8]",25,"Non-Whte","Some College",1,"[18,40]","Male","Independent"
"1803",NA,NA,NA,NA,21,"White","HS or Less",3,"[18,40]","Male","Repubican"
"1804",NA,NA,NA,NA,85,"White",NA,1,"(57,86]","Female","Repubican"
"1805","Dial-Up",0,0,NA,64,"White","Some College",1,"(57,86]","Male","Repubican"
"1806","Dial-Up",0,0,"(6,8]",78,"White","College",2,"(57,86]","Male","Independent"
"1807","High Speed",0,0,"[1,4]",28,"White","College",3,"[18,40]","Male","Independent"
"1808",NA,NA,NA,"(6,8]",50,"Non-Whte","College",1,"(40,57]","Female","Independent"
"1809",NA,NA,NA,"(4,6]",37,"Non-Whte","HS or Less",3,"[18,40]","Male","Democrat"
"1810",NA,NA,NA,"[1,4]",26,"White","HS or Less",3,"[18,40]","Male","Independent"
"1811",NA,NA,NA,"(4,6]",42,"Non-Whte","Some College",2,"(40,57]","Female","Democrat"
"1812",NA,NA,NA,NA,42,"White","Some College",1,"(40,57]","Male","Repubican"
"1813","High Speed",0,0.5,"[1,4]",27,"White","College",1,"[18,40]","Male","Independent"
"1814",NA,1,0,"[1,4]",21,"White","HS or Less",NA,"[18,40]","Male","Repubican"
"1815","Dial-Up",NA,NA,NA,70,"White","Some College",1,"(57,86]","Male","Democrat"
"1816",NA,NA,NA,NA,NA,"White",NA,4,NA,"Male","Independent"
"1817",NA,NA,NA,"(6,8]",65,"White","College",1,"(57,86]","Male","Repubican"
"1818",NA,NA,NA,NA,56,"White","Some College",1,"(40,57]","Male","Repubican"
"1819",NA,NA,NA,"[1,4]",62,"White","HS or Less",4,"(57,86]","Male","Democrat"
"1820",NA,NA,NA,"[1,4]",36,"White","Some College",2,"[18,40]","Male","Independent"
"1821",NA,NA,NA,NA,91,"Non-Whte","HS or Less",2,NA,"Female","Democrat"
"1822","High Speed",NA,NA,NA,74,"White","College",1,"(57,86]","Male","Repubican"
"1823",NA,NA,NA,"[1,4]",65,"White","HS or Less",1,"(57,86]","Male","Democrat"
"1824",NA,NA,NA,"(4,6]",43,"White","Some College",2,"(40,57]","Male","Democrat"
"1825","Dial-Up",NA,NA,"[1,4]",40,"White","HS or Less",2,"[18,40]","Male","Repubican"
"1826","Dial-Up",NA,NA,NA,19,"White","HS or Less",3,"[18,40]","Female","Repubican"
"1827","High Speed",0,0,"(6,8]",45,"White","College",1,"(40,57]","Female","Democrat"
"1828","High Speed",0,0,"(4,6]",54,"White","Some College",1,"(40,57]","Male","Repubican"
"1829",NA,NA,NA,"(4,6]",40,"White","HS or Less",2,"[18,40]","Male","Repubican"
"1830",NA,NA,NA,"[1,4]",68,"White","Some College",1,"(57,86]","Female","Independent"
"1831",NA,NA,NA,"[1,4]",60,"White","HS or Less",1,"(57,86]","Male","Repubican"
"1832","Dial-Up",NA,NA,"(6,8]",27,"White","Some College",2,"[18,40]","Male","Independent"
"1833",NA,0,0,"[1,4]",42,"White","College",1,"(40,57]","Male","Independent"
"1834",NA,NA,NA,"[1,4]",42,"Non-Whte","HS or Less",2,"(40,57]","Female","Democrat"
"1835","Dial-Up",0,0,"(6,8]",63,"White","Some College",2,"(57,86]","Female","Democrat"
"1836",NA,NA,NA,"(4,6]",76,"White","Some College",2,"(57,86]","Male","Repubican"
"1837","High Speed",NA,NA,"(6,8]",43,"White","College",1,"(40,57]","Male","Democrat"
"1838",NA,NA,NA,NA,74,"White","HS or Less",2,"(57,86]","Female","Independent"
"1839","Dial-Up",NA,NA,"[1,4]",46,"White","College",1,"(40,57]","Female","Democrat"
"1840","Dial-Up",NA,NA,"[1,4]",60,"White","Some College",1,"(57,86]","Male","Independent"
"1841",NA,NA,NA,"[1,4]",59,"White","HS or Less",NA,"(57,86]","Male","Independent"
"1842",NA,NA,NA,"(4,6]",34,"Non-Whte","Some College",2,"[18,40]","Female","Democrat"
"1843","Dial-Up",0,0,NA,47,"White","College",1,"(40,57]","Male","Repubican"
"1844",NA,NA,NA,"(4,6]",47,"White","HS or Less",3,"(40,57]","Female","Repubican"
"1845",NA,NA,NA,"[1,4]",83,"White","HS or Less",NA,"(57,86]","Male","Independent"
"1846","High Speed",0,0,"(6,8]",44,"White","College",2,"(40,57]","Female","Independent"
"1847","High Speed",NA,NA,NA,47,"White","HS or Less",1,"(40,57]","Female","Repubican"
"1848","High Speed",0,0,"[1,4]",20,"White","HS or Less",2,"[18,40]","Female","Independent"
"1849",NA,0,0,NA,NA,"White","College",2,NA,"Male","Independent"
"1850","Dial-Up",0,0,"[1,4]",41,"White","HS or Less",4,"(40,57]","Male","Repubican"
"1851","Dial-Up",0,0,NA,NA,"White","Some College",1,NA,"Male","Independent"
"1852",NA,NA,NA,"[1,4]",80,"White","College",1,"(57,86]","Female","Repubican"
"1853","High Speed",0,0,"(4,6]",33,"White","HS or Less",2,"[18,40]","Male","Repubican"
"1854",NA,NA,NA,NA,62,"Non-Whte","Some College",1,"(57,86]","Female","Repubican"
"1855",NA,NA,NA,"(4,6]",28,"White","HS or Less",2,"[18,40]","Female","Repubican"
"1856","High Speed",NA,NA,"(6,8]",42,"White","College",2,"(40,57]","Male","Repubican"
"1857",NA,NA,NA,"[1,4]",66,"White","HS or Less",1,"(57,86]","Female","Repubican"
"1858","High Speed",NA,NA,"(6,8]",36,"White","College",2,"[18,40]","Male","Independent"
"1859","High Speed",0,0,"(6,8]",45,"White","College",1,"(40,57]","Female","Democrat"
"1860",NA,NA,NA,"[1,4]",60,"White","Some College",1,"(57,86]","Female","Repubican"
"1861","High Speed",0,0,"(4,6]",36,"Non-Whte","College",1,"[18,40]","Male","Independent"
"1862",NA,0,0,"[1,4]",24,"Non-Whte","HS or Less",1,"[18,40]","Male","Independent"
"1863","High Speed",0,0,"(6,8]",45,"White","College",2,"(40,57]","Male","Repubican"
"1864",NA,NA,NA,"[1,4]",78,"Non-Whte","HS or Less",1,"(57,86]","Male","Democrat"
"1865",NA,NA,NA,"[1,4]",81,"White","HS or Less",4,"(57,86]","Female","Repubican"
"1866","Dial-Up",0.5,0,"(4,6]",30,"White","College",1,"[18,40]","Male","Democrat"
"1867","Dial-Up",NA,NA,"[1,4]",23,"Non-Whte","Some College",2,"[18,40]","Male","Independent"
"1868","High Speed",NA,NA,"(6,8]",49,"White","Some College",1,"(40,57]","Male","Repubican"
"1869","Dial-Up",0,0,"(4,6]",35,"White","Some College",1,"[18,40]","Female","Democrat"
"1870","High Speed",0,0,"(4,6]",32,"White","Some College",2,"[18,40]","Female","Repubican"
"1871",NA,NA,NA,NA,31,"Non-Whte","College",1,"[18,40]","Female","Democrat"
"1872","Dial-Up",NA,NA,"[1,4]",55,"White","College",1,"(40,57]","Female","Repubican"
"1873","High Speed",NA,NA,"(6,8]",42,"Non-Whte","College",1,"(40,57]","Male","Repubican"
"1874","High Speed",NA,NA,"(4,6]",52,"White","Some College",1,"(40,57]","Female","Independent"
"1875","Dial-Up",0,0,"[1,4]",35,"Non-Whte","Some College",1,"[18,40]","Female","Democrat"
"1876","High Speed",0,0,"(4,6]",61,"White","College",1,"(57,86]","Female","Independent"
"1877","Dial-Up",NA,NA,"(6,8]",33,"White","Some College",1,"[18,40]","Male","Repubican"
"1878",NA,0,0,"[1,4]",26,"Non-Whte","Some College",1,"[18,40]","Female","Democrat"
"1879",NA,NA,NA,"[1,4]",81,"White","College",1,"(57,86]","Female","Repubican"
"1880",NA,NA,NA,NA,56,"White","College",4,"(40,57]","Male","Independent"
"1881","High Speed",NA,NA,"(6,8]",58,"White","College",2,"(57,86]","Female","Independent"
"1882",NA,0,0,"(4,6]",39,"White","HS or Less",1,"[18,40]","Male","Independent"
"1883",NA,NA,NA,"[1,4]",79,"White","HS or Less",2,"(57,86]","Female","Democrat"
"1884","Dial-Up",NA,NA,"[1,4]",40,"Non-Whte","Some College",2,"[18,40]","Female","Democrat"
"1885",NA,NA,NA,"(6,8]",33,"White","HS or Less",2,"[18,40]","Female","Democrat"
"1886","High Speed",NA,NA,"(6,8]",62,"White","Some College",1,"(57,86]","Female","Independent"
"1887","High Speed",NA,NA,"(4,6]",51,"White","College",2,"(40,57]","Female","Democrat"
"1888","High Speed",0,0,"(6,8]",36,"Non-Whte","College",1,"[18,40]","Male","Repubican"
"1889","High Speed",0,0,"(4,6]",43,"White","College",2,"(40,57]","Female","Democrat"
"1890","High Speed",NA,NA,"(6,8]",25,"White","College",1,"[18,40]","Male","Independent"
"1891","High Speed",0,0,"(6,8]",18,"White","HS or Less",2,"[18,40]","Male","Repubican"
"1892","Dial-Up",0,0,NA,65,"White","HS or Less",2,"(57,86]","Male","Democrat"
"1893","High Speed",NA,NA,"[1,4]",36,"White","Some College",2,"[18,40]","Female","Independent"
"1894",NA,NA,NA,NA,79,"White","HS or Less",4,"(57,86]","Female","Democrat"
"1895","High Speed",0,0.5,"[1,4]",27,"White","College",1,"[18,40]","Male","Democrat"
"1896","Dial-Up",NA,NA,"[1,4]",41,"White","College",1,"(40,57]","Male","Democrat"
"1897",NA,NA,NA,"(6,8]",59,"White","College",1,"(57,86]","Male","Independent"
"1898",NA,NA,NA,NA,81,"White","HS or Less",1,"(57,86]","Female","Democrat"
"1899",NA,NA,NA,"[1,4]",75,"White","HS or Less",3,"(57,86]","Female","Independent"
"1900",NA,NA,NA,"(4,6]",64,"White","Some College",1,"(57,86]","Male","Repubican"
"1901",NA,NA,NA,NA,71,"White","HS or Less",1,"(57,86]","Male","Independent"
"1902",NA,NA,NA,NA,NA,"White","Some College",3,NA,"Female","Independent"
"1903",NA,NA,NA,NA,32,"Non-Whte","HS or Less",3,"[18,40]","Female","Independent"
"1904","High Speed",NA,NA,"(6,8]",46,"White","Some College",2,"(40,57]","Male","Repubican"
"1905","Dial-Up",NA,NA,"[1,4]",69,"White","HS or Less",1,"(57,86]","Male","Democrat"
"1906","High Speed",0,0,"(4,6]",53,"White","Some College",2,"(40,57]","Female","Democrat"
"1907","Dial-Up",NA,NA,NA,56,"White","Some College",1,"(40,57]","Female","Independent"
"1908","Dial-Up",0,0,"(4,6]",29,"White","College",2,"[18,40]","Female","Independent"
"1909","High Speed",0,0,NA,22,"White","Some College",2,"[18,40]","Female","Democrat"
"1910",NA,NA,NA,NA,59,"White",NA,3,"(57,86]","Male","Independent"
"1911","Dial-Up",0,0,"(4,6]",42,"White","HS or Less",2,"(40,57]","Female","Repubican"
"1912",NA,0,0,"(6,8]",37,"White","College",2,"[18,40]","Male","Repubican"
"1913",NA,NA,NA,"[1,4]",83,"White","HS or Less",3,"(57,86]","Female","Democrat"
"1914","Dial-Up",0,0,"(6,8]",37,"White","Some College",1,"[18,40]","Male","Independent"
"1915",NA,NA,NA,"[1,4]",57,"White","Some College",4,"(40,57]","Male","Independent"
"1916",NA,NA,NA,NA,50,"White","HS or Less",1,"(40,57]","Male","Repubican"
"1917","High Speed",NA,NA,NA,81,"White","College",1,"(57,86]","Female","Democrat"
"1918",NA,NA,NA,"(4,6]",27,"White","Some College",2,"[18,40]","Female","Repubican"
"1919","Dial-Up",NA,NA,"(4,6]",29,"White","HS or Less",1,"[18,40]","Female","Repubican"
"1920",NA,NA,NA,"[1,4]",46,"White","College",4,"(40,57]","Female","Independent"
"1921",NA,NA,NA,"[1,4]",67,"White","HS or Less",4,"(57,86]","Female","Independent"
"1922","Dial-Up",0,0,"[1,4]",56,"White","College",3,"(40,57]","Female","Repubican"
"1923",NA,NA,NA,NA,71,"White","HS or Less",3,"(57,86]","Male","Independent"
"1924",NA,0,0,"(4,6]",36,"White","HS or Less",3,"[18,40]","Female","Repubican"
"1925","Dial-Up",NA,NA,"[1,4]",19,"White","HS or Less",2,"[18,40]","Female","Independent"
"1926","High Speed",NA,NA,NA,50,"Non-Whte","Some College",3,"(40,57]","Female","Democrat"
"1927",NA,NA,NA,NA,75,"Non-Whte","HS or Less",4,"(57,86]","Male","Democrat"
"1928",NA,NA,NA,"[1,4]",68,"White","HS or Less",2,"(57,86]","Female","Democrat"
"1929",NA,NA,NA,"(4,6]",50,"Non-Whte","HS or Less",1,"(40,57]","Male","Democrat"
"1930","High Speed",0.5,0.5,"[1,4]",20,"White","Some College",1,"[18,40]","Female","Democrat"
"1931",NA,NA,NA,"[1,4]",67,"White","HS or Less",2,"(57,86]","Female","Repubican"
"1932","High Speed",0,0,"(4,6]",51,"White","College",1,"(40,57]","Male","Repubican"
"1933","Dial-Up",NA,NA,"(4,6]",50,"White","Some College",2,"(40,57]","Male","Repubican"
"1934",NA,NA,NA,NA,74,"White","HS or Less",2,"(57,86]","Male","Independent"
"1935","Dial-Up",NA,NA,"(6,8]",60,"Non-Whte","HS or Less",4,"(57,86]","Male","Democrat"
"1936","High Speed",NA,NA,"(6,8]",57,"White","Some College",1,"(40,57]","Male","Democrat"
"1937",NA,NA,NA,"[1,4]",73,"White","College",1,"(57,86]","Male","Repubican"
"1938","High Speed",0,0,"(4,6]",34,"White","Some College",2,"[18,40]","Female","Democrat"
"1939","High Speed",NA,NA,"[1,4]",22,"White","Some College",2,"[18,40]","Female","Repubican"
"1940",NA,NA,NA,"[1,4]",37,"White","HS or Less",1,"[18,40]","Male","Repubican"
"1941","Dial-Up",NA,NA,"(4,6]",63,"White","College",1,"(57,86]","Female","Democrat"
"1942","Dial-Up",0,0,"(4,6]",44,"White","Some College",1,"(40,57]","Female","Independent"
"1943",NA,NA,NA,"[1,4]",44,"White","Some College",4,"(40,57]","Male","Independent"
"1944",NA,NA,NA,"[1,4]",64,"Non-Whte","HS or Less",3,"(57,86]","Male","Democrat"
"1945","High Speed",0,0,"(4,6]",54,"White","HS or Less",4,"(40,57]","Female","Independent"
"1946",NA,NA,NA,"[1,4]",71,"White","Some College",1,"(57,86]","Male","Independent"
"1947",NA,NA,NA,"[1,4]",72,"Non-Whte","HS or Less",1,"(57,86]","Female","Democrat"
"1948","Dial-Up",NA,NA,"(4,6]",50,"White","HS or Less",1,"(40,57]","Male","Independent"
