"","broadband","blogs","onlinenews","income","age","race","educ1","interest","age1","sex","pid"
"1604",NA,NA,NA,"[1,4]",23,"Non-Whte","HS or Less",1,"[18,40]","Male","Independent"
"1605",NA,NA,NA,"(6,8]",36,"White","College",1,"[18,40]","Female","Repubican"
"1606",NA,NA,NA,"(4,6]",65,"White","College",2,"(57,86]","Male","Repubican"
"1607","Dial-Up",0,0,NA,64,"White","HS or Less",2,"(57,86]","Female","Repubican"
"1608","High Speed",0,0.5,"[1,4]",18,"Non-Whte","Some College",1,"[18,40]","Male","Democrat"
"1609","Dial-Up",0.5,0,"[1,4]",58,"White","Some College",1,"(57,86]","Female","Democrat"
"1610","High Speed",NA,NA,NA,35,"White","College",1,"[18,40]","Male","Independent"
"1611",NA,NA,NA,"(4,6]",22,"Non-Whte","HS or Less",4,"[18,40]","Male","Independent"
"1612",NA,NA,NA,"[1,4]",18,"Non-Whte","HS or Less",3,"[18,40]","Male","Democrat"
"1613",NA,NA,NA,NA,32,"Non-Whte","Some College",2,"[18,40]","Female","Democrat"
"1614",NA,NA,NA,"[1,4]",54,"Non-Whte","HS or Less",2,"(40,57]","Female","Democrat"
"1615",NA,NA,NA,"[1,4]",56,"White","HS or Less",2,"(40,57]","Female","Democrat"
"1616","Dial-Up",NA,NA,"(6,8]",18,"White","HS or Less",1,"[18,40]","Male","Repubican"
"1617",NA,0,0,"[1,4]",52,"Non-Whte","Some College",3,"(40,57]","Female","Democrat"
"1618","Dial-Up",0,0,NA,30,"Non-Whte","Some College",2,"[18,40]","Female","Democrat"
"1619","High Speed",1,0.5,"(4,6]",57,"White","College",1,"(40,57]","Male","Repubican"
"1620",NA,0,0.5,"(4,6]",38,"Non-Whte","College",1,"[18,40]","Male","Independent"
"1621","High Speed",0,0,"[1,4]",56,"Non-Whte","College",4,"(40,57]","Female","Democrat"
"1622",NA,NA,NA,"[1,4]",58,"White","Some College",1,"(57,86]","Male","Democrat"
"1623","High Speed",NA,NA,"(6,8]",46,"White","College",1,"(40,57]","Male","Democrat"
"1624",NA,NA,NA,"(6,8]",31,"White","College",2,"[18,40]","Female","Independent"
"1625","Dial-Up",NA,NA,"(4,6]",59,"White","HS or Less",2,"(57,86]","Female","Repubican"
"1626",NA,NA,NA,"[1,4]",65,"White","College",1,"(57,86]","Male","Democrat"
"1627","High Speed",NA,NA,"(6,8]",63,"White","College",1,"(57,86]","Female","Repubican"
"1628",NA,NA,NA,"[1,4]",65,"White","HS or Less",1,"(57,86]","Female","Independent"
"1629","High Speed",NA,NA,"(6,8]",28,"White","College",1,"[18,40]","Female","Independent"
"1630","High Speed",NA,NA,"(6,8]",44,"White","HS or Less",1,"(40,57]","Female","Independent"
"1631","High Speed",0,0,"(6,8]",37,"White","College",2,"[18,40]","Female","Independent"
"1632",NA,NA,NA,"[1,4]",61,"Non-Whte","College",1,"(57,86]","Male","Democrat"
